customer_id,customer_name,age,gender,city,state,phone_number,email,registration_date,language_preference,primary_device
C0001,Sneha Das,26,Female,Guwahati,Assam,9960013389,sneha.das84@gmail.com,2024-07-12,Bengali,Mobile
C0002,Meera Agarwal,27,Female,Bengaluru,Karnataka,9615594078,meera.agarwal11@gmail.com,2024-07-19,Marathi,Smart TV
C0003,Anjali Menon,23,Female,Mysuru,Karnataka,6475255341,anjali.menon94@yahoo.com,2023-09-08,Punjabi,Smart TV
C0004,Pooja Menon,38,Female,Kolkata,West Bengal,7376724238,pooja.menon55@gmail.com,2024-08-20,Telugu,Tablet
C0005,Vikram Mehta,28,Male,Indore,Madhya Pradesh,9669784801,vikram.mehta35@yahoo.com,2024-10-18,Telugu,Tablet
C0006,Prashant Chavan,50,Male,Delhi,Delhi,7893252880,prashant.chavan15@gmail.com,2024-01-07,Bengali,Smart TV
C0007,Vishal Gupta,49,Male,Nagpur,Maharashtra,8278248963,vishal.gupta89@outlook.com,2023-07-25,Marathi,Tablet
C0008,Tanya Mehta,22,Female,Madras,Tamil Nadu,8010310518,tanya.mehta28@gmail.com,2024-07-06,Gujarati,Smart TV
C0009,Ritika Pillai,60,Female,Howrah,West Bengal,6701065133,ritika.pillai55@gmail.com,2023-07-07,Tamil,Tablet
C0010,Aditi Joshi,52,Female,Mumbai,Maharashtra,8267736026,aditi.joshi59@gmail.com,2023-10-20,Punjabi,Tablet
C0011,Aditya Iyer,55,Male,Guwahati,Assam,7009788208,aditya.iyer77@gmail.com,2023-03-11,Tamil,Smart TV
C0012,Anjali Hegde,60,Female,Lucknow,Uttar Pradesh,7435346247,anjali.hegde10@gmail.com,2023-01-10,Tamil,Mobile
C0013,Namrata Banerjee,40,Female,Nagpur,Maharashtra,7427849808,namrata.banerjee18@gmail.com,2023-09-28,Punjabi,Smart TV
C0014,Rohit Iyer,31,Male,Indore,Madhya Pradesh,7874016400,rohit.iyer34@gmail.com,2023-06-15,English,Mobile
C0015,Nikhil Patil,41,Male,Lucknow,Uttar Pradesh,6204505331,nikhil.patil53@gmail.com,2024-09-27,Kannada,Smart TV
C0016,Dinesh Jain,39,Other,Howrah,West Bengal,8421607337,dinesh.jain30@gmail.com,17-08-2023,Marathi,Laptop
C0017,Kavitha Tiwari,43,Female,Indore,Madhya Pradesh,7014294019,kavitha.tiwari41@gmail.com,2024-03-22,English,Smart TV
C0018,Vijay Sharma,52,Male,Indore,Madhya Pradesh,8561595148,vijay.sharma52@gmail.com,2023-10-30,English,Smart TV
C0019,Aarti Desai,18,Female,Warangal,Telangana,6995777387,aarti.desai95@yahoo.com,2023-06-23,Marathi,Mobile
C0020,Sonia Ghosh,30,Female,Gurgaon,Haryana,,sonia.ghosh99@gmail.com,2023-03-16,Kannada,Tablet
C0021,Ankit Nair,18,Male,Delhi,Delhi,8287083172,ankit.nair72@yahoo.com,2024-09-01,Gujarati,Tablet
C0022,Aditi Saxena,48,Female,Ahmedabad,Gujarat,8487347143,aditi.saxena70@gmail.com,2023-03-24,Telugu,Smart TV
C0023,Ajay Mishra,44,Male,Pune,Maharashtra,6690967054,ajay.mishra54@yahoo.com,2024-07-05,Kannada,Tablet
C0024,Vijay Chopra,39,Male,Indore,Madhya Pradesh,6272980699,vijay.chopra55@yahoo.com,2023-05-19,Bengali,Tablet
C0025,Ramesh Yadav,42,Male,Hyderabad,Telangana,6417080531,ramesh.yadav97@yahoo.com,2023-02-01,Hindi,Smart TV
C0026,Yash Mehta,31,Male,Ahmedabad,Gujarat,7299124190,yash.mehta49@outlook.com,2024-02-11,Kannada,Mobile
C0027,Aarti Bhat,54,Female,Pune,Maharashtra,6518506716,aarti.bhat59@outlook.com,2023-06-06,Bengali,Tablet
C0028,Nitin Das,33,Male,Nagpur,Maharashtra,6379965075,nitin.das34@gmail.com,2023-12-15,Bengali,Mobile
C0029,Lakshmi Gupta,44,Female,Surat,Gujarat,8777014363,lakshmi.gupta61@gmail.com,2024-07-20,Punjabi,Laptop
C0030,Ramesh Das,32,Male,Delhi,Delhi,7182337498,ramesh.das25@gmail.com,2023-10-31,Hindi,Smart TV
C0031,Vikram Naidu,26,Male,Bhopal,Madhya Pradesh,6109477752,vikram.naidu62@outlook.com,2023-04-27,Tamil,Mobile
C0032,Vishal Ghosh,33,Male,Delhi,Delhi,6999386774,vishal.ghosh40@outlook.com,2024-08-05,Tamil,Smart TV
C0033,Rekha Gupta,29,Female,Jodhpur,Rajasthan,9679740344,rekha.gupta88@yahoo.com,2023-08-28,Kannada,Tablet
C0034,Gaurav Nair,27,Male,Nagpur,Maharashtra,7994717464,gaurav.nair11@gmail.com,04-09-2024,Marathi,Laptop
C0035,Gaurav Rajan,19,Male,Indore,Madhya Pradesh,9278742967,gaurav.rajan53@outlook.com,2023-12-08,Telugu,Laptop
C0036,Tejas Bose,43,Male,Jodhpur,Rajasthan,,tejas.bose15@gmail.com,2024-02-18,Hindi,Tablet
C0037,Mohit Kulkarni,49,Male,Bhopal,Madhya Pradesh,9348247710,mohit.kulkarni31@outlook.com,2023-06-12,,Tablet
C0038,Deepak Kapoor,59,Male,Gurgaon,Haryana,7846773782,deepak.kapoor66@gmail.com,2023-05-20,English,Laptop
C0039,Namrata Das,36,Female,Guwahati,Assam,6278755886,namrata.das25@gmail.com,2023-09-02,English,Mobile
C0040,Yash Sinha,60,Male,Bhopal,Madhya Pradesh,6028951718,,2023-05-28,Telugu,Mobile
C0041,Prashant Mishra,43,Male,Bhopal,Madhya Pradesh,7865780913,prashant.mishra30@yahoo.com,2023-04-03,Tamil,Tablet
C0042,Manish Verma,21,Male,Warangal,Telangana,6238692221,manish.verma88@yahoo.com,2023-09-04,Kannada,Tablet
C0043,Ishita Banerjee,47,Female,Warangal,Telangana,8175946474,ishita.banerjee62@gmail.com,2023-04-20,Bengali,Laptop
C0044,Sunil Das,0,Male,Kanpur,Uttar Pradesh,7395339421,sunil.das40@outlook.com,27-03-2024,Telugu,Mobile
C0045,Swati Jain,26,Female,Jodhpur,Rajasthan,7884247451,swati.jain97@gmail.com,2023-08-20,English,Laptop
C0046,Sunil Sharma,25,Male,Ahmedabad,Gujarat,7965137098,sunil.sharma83@gmail.com,2023-03-06,Bengali,Tablet
C0047,Rohan Patel,49,Male,Delhi,Delhi,8675869261,rohan.patel36@yahoo.com,2023-02-03,Gujarati,Smart TV
C0048,Neha Pandey,59,Female,Coimbatore,Tamil Nadu,7317139005,neha.pandey73@gmail.com,30-07-2023,Kannada,Smart TV
C0049,Geeta Mishra,56,Female,Mumbai,Maharashtra,8842102053,,29-09-2023,Punjabi,Mobile
C0050,Yukta Saxena,50,Female,Lucknow,Uttar Pradesh,8908470076,yukta.saxena92@gmail.com,30-03-2024,Telugu,Mobile
C0051,Nitin Naidu,42,Male,Kanpur,Uttar Pradesh,6896118367,nitin.naidu59@outlook.com,2024-02-13,English,Laptop
C0052,Shweta Nair,48,Female,Nagpur,Maharashtra,9161528098,shweta.nair53@gmail.com,2023-12-29,English,Mobile
C0053,Ruhi Ghosh,54,Female,Jaipur,Rajasthan,6315851493,ruhi.ghosh99@yahoo.com,2024-09-28,Hindi,Laptop
C0054,Vivek Ghosh,40,Male,Mumbai,Maharashtra,6120183667,vivek.ghosh93@gmail.com,2023-11-29,Tamil,Mobile
C0055,Vikram Gupta,60,Male,Howrah,West Bengal,6643815614,vikram.gupta68@yahoo.com,12-11-2023,Hindi,Mobile
C0056,Sanjay Shah,36,Male,Chennai,Tamil Nadu,6226838851,sanjay.shah56@gmail.com,2023-01-20,Marathi,Tablet
C0057,Ritika Bose,19,Female,Chennai,Tamil Nadu,6516136968,ritika.bose96@gmail.com,2023-12-14,Tamil,Mobile
C0058,Lakshmi Tiwari,59,Female,Gurgaon,Haryana,8432921277,lakshmi.tiwari58@yahoo.com,2024-08-01,Marathi,Laptop
